yr_cleaned,start,era,era_cleaned,sub_era,sub-sub-era,event_cleaned,source_text,sub-key,type,y-key,pivot,source_cleaned
3637 BBY,-3637,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Outlander is captured and frozen in carbonite.,,1,Legends,2,0,Other
3632 BBY,-3632,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Eternal Alliance is founded by The Commander to oppose the Eternal Empire's rule of the galaxy.,,0,Legends,1,1,Other
3630 BBY,-3630,Inter-Sith Wars period,Inter-Sith Wars period,0,,Vitiate dies for the final time on Zakuul.,,0,Legends,1,0,Other
3630 BBY,-3630,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Third Galactic War commences.,,1,Legends,2,0,Other
3500 BBY,-3500,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Republic scouts discover the moon of Iktotchon, home of the Iktotchi species, and are astonished to see the seal of the Republic carved into a high plateau on the moon's largest continent. The precognitive Iktotchi predicted the Republic's arrival by several weeks, and the Iktotchi leaders have gathered at the massive carving for their first contact with other species.",Alien Anthology,0,Legends,1,1,Other
3400 BBY,-3400,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Two Sith, The Dreamer and The Monster-Slayer, duel, ending in the death of both.",The Jedi Path: A Manual for Students of the Force (Art print with the 2014 re-release),0,Legends,1,0,Other
3350 BBY,-3350,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Centrality is founded as an independent territory.,The Essential Atlas,0,Legends,1,1,Other
3300 BBY,-3300,Inter-Sith Wars period,Inter-Sith Wars period,0,,The environmental chaos on Sraato caused by the meteor storm finally comes to an end.,The Unknown Regions,0,Legends,1,0,Other
3277 BBY,-3277,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,The Lothal Calendar is introduced.,Gadgets and Gear,0,Canon,1,1,Other
3200 BBY,-3200,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Yavin system is rediscovered by probe droids exploring the Perlemian Trade Route's spurs, but is cataloged as uninhabitable.",Geonosis and the Outer Rim Worlds,0,Legends,1,0,Other
3100 BBY,-3100,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Hapan Queen Mother seals the borders of the Hapes Consortium, beginning thousands of years of isolation.",The Essential Atlas,0,Legends,1,1,Other
3060 BBY,-3060,Inter-Sith Wars period,Inter-Sith Wars period,0,,Varner Hilts is born on Kesh.,,0,Legends,1,0,Other
3053 BBY,-3053,Inter-Sith Wars period,Inter-Sith Wars period,0,,Vandelhelm is discovered by two independent prospectors Vandel and Helm.," ""Vandelhelm: Enemies and Alloys Part 1"" on Wizards.com (original article link, backup link)",0,Legends,1,1,Other
3025 BBY,-3025,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Caretaker Varner Hilts coins the term ""The Time of the Rot"" to describe the period of upheaval and civil unrest on Kesh.",Lost Tribe of the Sith: Pantheon,0,Legends,1,0,Other
3017 BBY,-3017,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Seventeenth Alsakan Conflict, the last of such conflicts, comes to an end.",The Essential Atlas,0,Legends,1,1,Other
3000 BBY,-3000,Inter-Sith Wars period,Inter-Sith Wars period,0,,The planet Jabiim is colonized.,Galaxy at War,1,Legends,1,0,Other
3000 BBY,-3000,Inter-Sith Wars period,Inter-Sith Wars period,0,,Varner Hilts becomes Grand Lord of the Lost Tribe of Sith.,,0,Legends,2,0,Other
3000 BBY,-3000,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Hapan Royal Guard, or Chume'doro, first begins service as the Queen Mother's protectors.",Galaxy at War,2,Legends,3,0,Other
3000 BBY,-3000,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Gungan species on the planet Naboo undergoes a civil war that leads to their unification under Boss Gallo and the founding of the city of Otoh Gunga.,"The Essential Atlas, Star Wars: Galactic Battlegrounds",3,Legends,4,0,Other
3000 BBY,-3000,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Paecian Empire colonizes the planet Dathomir, using it as a penal colony. (Approximate date)","The Essential Atlas, The Courtship of Princess Leia",4,Legends,5,0,Other
2992 BBY,-2992,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Paecian Empire collapses.,The Courtship of Princess Leia,0,Legends,1,1,Other
2989 BBY,-2989,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Talecalle volcano chain erupts before entering a dormant stage that lasts for three thousand years.," ""From the Files of Corellia Antilles""—Star Wars Adventure Journal 14",0,Legends,1,0,Other
2975 BBY,-2975,Inter-Sith Wars period,Inter-Sith Wars period,0,,High Lord Edell Vrai's mission to the continent of Alanciar ends in failure as the Alanciari shoot down the Tribe's airships.,Lost Tribe of the Sith: Pandemonium,0,Legends,1,1,Other
2975 BBY,-2975,Inter-Sith Wars period,Inter-Sith Wars period,0,,"High Lord Korsin Bentado attempts to invade Alanciar, but is also repelled by the Alanciari. He and the remainder of his forces then assassinate the entire Alanciari War Cabinet.",Lost Tribe of the Sith: Pandemonium,1,Legends,2,1,Other
2975 BBY,-2975,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Edell Vrai and Alanciari allies halt Bentado's attempt to create a ""Second Tribe"" on Alanciar, and the Lost Tribe annexes Alanciar with minimal hostilities.",Lost Tribe of the Sith: Pandemonium,2,Legends,3,1,Other
2974 BBY,-2974,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Dreypa's invasion ends with the Sith Lord's death, and the Tribe reasserts control of Kesh.",Star Wars: Lost Tribe of the Sith—Spiral,0,Legends,1,0,Other
2974 BBY,-2974,Inter-Sith Wars period,Inter-Sith Wars period,0,,"After the Tribe discovers the polar continent of Eshkrene, a chain of events result in the release of the ancient Sith Lord Remulus Dreypa from his imprisonment.",Star Wars: Lost Tribe of the Sith—Spiral,1,Legends,2,0,Other
2974 BBY,-2974,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Baron Dreypa leads a revolt against the Lost Tribe and unearths his Leviathans from Sessal Spire, and then leads an invasion of the city of Tahv.",Star Wars: Lost Tribe of the Sith—Spiral,2,Legends,3,0,Other
2519 BBY,-2519,Inter-Sith Wars period,Inter-Sith Wars period,0,,The main hall of the Jedi Archives is constructed.,Star Wars: Complete Locations,0,Legends,1,1,Other
2500 BBY,-2500,Inter-Sith Wars period,Inter-Sith Wars period,0,,"Prospectors discover that the core of Yavin Prime has fused hydrogen and carbon into Corusca gems, sparking a mining rush that dies out less than a century later.",Geonosis and the Outer Rim Worlds,0,Legends,1,0,Other
2500s BBY,-2500,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The ""battleship era"" comes to an end thanks to economic strains, and tacticians largely start to prefer fleets of smaller cruisers.",The Essential Guide to Warfare,1,Legends,2,0,Other
2367 BBY,-2367,Inter-Sith Wars period,Inter-Sith Wars period,0,,The first Priole Danna Festival is held on Lamuir IV., Priole Danna Festival Still a Go—HoloNet News Vol. 531 #45 (content now obsolete; backup link on Archive.org),0,Legends,1,1,Other
2320 BBY,-2320,Inter-Sith Wars period,Inter-Sith Wars period,0,,The planet Taanab is settled as an agricultural outpost.,The Essential Atlas,0,Legends,1,0,Other
2219 BBY,-2219,Inter-Sith Wars period,Inter-Sith Wars period,0,,The Saffa species begins a period that sees them create Saffa paintings.,Heir to the Empire,0,Legends,1,1,Other
2203 BBY,-2203,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Shapani Bypass was established, being used as a shortcut for Bacta transport between Thyferra and the Core Worlds.",Player's Guide to Tapani,0,Legends,1,0,Other
2200 BBY,-2200,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Mining Guild claims the planet Ruusan along with a number of other worlds in the Teraab sector, but Ruusan's mineral deposits prove disappointing.",The Essential Atlas,0,Legends,1,1,Other
2132 BBY,-2132,Inter-Sith Wars period,Inter-Sith Wars period,0,,"The Breath Stealing occurs on Alphoresis, an event that claims the lives of every child under the age of eight.", Essential Atlas Extra: The Knight Errant Gazetteer on StarWars.com (article) (content now obsolete; backup link),0,Legends,1,0,Other
2022 BBY,-2022,Inter-Sith Wars period,Inter-Sith Wars period,0,,Durge is born.,The Official Star Wars Fact File 128,0,Legends,1,1,Other
2019 BBY,-2019,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,"The Force vergence Acablas on Auratera comes to be a known destination for Jedi Masters and Sith Lords, with Auratera aligning itself with the Galactic Republic or whichever Sith Empire that controlled the surrounding star systems.",Star Wars Jedi: Fallen Order,0,Canon,1,0,Other
2019 BBY,-2019,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,Weik is colonized by sentients.,Star Wars Jedi: Fallen Order,4,Canon,2,0,Other
2019 BBY,-2019,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,Bardotta's Jour-un becomes a trading hub and the planet's major spaceport.,Star Wars Jedi: Fallen Order,1,Canon,3,0,Other
2019 BBY,-2019,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,"The Cron Drift asteroid field is established in the Auril sector, preventing expeditions to the ancient Jedi world of Ossus.",Star Wars Jedi: Fallen Order,2,Canon,4,0,Other
2019 BBY,-2019,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,Iktotch is incorporated into the Galactic Republic.,Star Wars Jedi: Fallen Order,3,Canon,5,0,Other
2000 BBY,-2000,Draggulch Period,Draggulch Period,0,,"A Near-Human species immigrates to the planet Bimmisaari, where they adopt the culture of the native Bimms and are integrated into Bimm culture, also becoming known as Bimms.",The Essential Guide to Alien Species,3,Legends,1,1,Other
2000 BBY,-2000,Draggulch Period,Draggulch Period,0,,"A group of families and friends of members of the Jedi Order flee the early battles of the New Sith Wars, settling on the Outer Rim planet of Yanibar in hopes of establishing a temporary refuge. However, the colonists' relatives and allies are killed during the conflict, causing Yanibar to be forgotten; the colonists develop the Zeison Sha Force tradition.",Jedi vs. Sith: The Essential Guide to the Force,2,Legends,2,1,Other
2000 BBY,-2000,Draggulch Period,Draggulch Period,0,,"The New Sith Wars begins with the Fourth Great Schism: the Jedi Master Phanius leaves the Jedi Order with fifty followers and takes the name Darth Ruin as he founds the New Sith, igniting a thousand years of conflict with the Sith.",The Essential Atlas,1,Legends,3,1,Other
2000 BBY,-2000,Draggulch Period,Draggulch Period,0,,The Draggulch Period begins.,The Essential Atlas,0,Legends,4,1,Other
2000 BBY,-2000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,"The Jedi code used by the Force wielders on Mortis to draw in Anakin Skywalker, Obi-Wan Kenobi, and Ahsoka Tano during the Clone Wars is last used around this time.","Since according to Star Wars: Galactic Atlas, the time of the Galactic Empire began in 19 BBY, thousands of years before the Empire's time is equivalent to over 2019 BBY.",0,Canon,5,1,Other
2000 BBY,-2000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,The Dagoyan Order takes hold of Bardotta after a series of successful and strategic small-scale wars; The once ruling Frangawl Cult goes into hiding.,Star Wars Jedi: Fallen Order,1,Canon,6,1,Other
2000 BBY,-2000,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),c. 5000 – c. 1000 BBY,"The Arakein Monks set in stone a clock atop Mount Arakeirkos. According to legend, whoever watches each swing of its pendulum for a day will have the lifespan of the universe revealed before their eyes.","In  Star Wars: The Clone Wars – ""Overlords"", it is said that the Jedi code sent from Mortis has not been used for ""over 2,000 years."" As the Clone Wars is dated to around 0 BBY by Star Wars: Galactic Atlas, it could be estimated that the Jedi code received by Anakin Skywalker, Obi-Wan Kenobi, and Ahsoka Tano during the war was last used in around 2000 BBY.",2,Canon,7,1,TCW
1989 BBY,-1989,Draggulch Period,Draggulch Period,0,,Bespin is first colonized with the commissioning of Cloud City.,Knights of the Old Republic Campaign Guide,0,Legends,1,0,Other
1960 BBY,-1960,Draggulch Period,Draggulch Period,0,,The Amulet of Kalara is fashioned. (Approximate date),"The Complete Star Wars Encyclopedia, Vol. I (""Amulet of Kalara"")",0,Legends,1,1,Other
1800 BBY,-1800,Draggulch Period,Draggulch Period,0,,"An orbital bombardment of the planets in the Uba system, a preemptive strike by the Republic to deter the native Ubese from continuing to build banned weapons, ignites superweapon caches that engulf the planets in radioactive firestorms. The native Ubese are nearly exterminated by the event, with the only survivors on Uba IV; some are relocated to the Ubertica system, but the event sparks a deep-seated hatred of the Republic among the Ubese.","Alien Anthology, The Essential Atlas",0,Legends,1,0,Other
1750 BBY,-1750,Draggulch Period,Draggulch Period,0,,"The Dark Underlord seizes power and marshals his Black Knights, who raid space stations along the Zona Miki route. The Republic counter by hiring Mandalorian mercenaries who fight alongside the Jedi in battle at Malrev IV, where the Jedi Master Murrtaggh struck down the Dark Underlord.", Evil Never Dies: The Sith Dynasties on Hyperspace (content removed from StarWars.com; new link on Archive.org; backup link),0,Legends,1,1,Other
1582 BBY,-1582,Draggulch Period,Draggulch Period,0,,"A military coup in the Tapani Empire brings down the Kappela Dynasty, and the region forms the Tapani Federation. The coup marks the transition from the Dynastic Era to the Federal Era of the region.",Player's Guide to Tapani,0,Legends,1,0,Other
1569 BBY,-1569,Draggulch Period,Draggulch Period,0,,The end of the height of Saffa paintings. (Approximate date),Heir to the Empire,0,Legends,1,1,Other
1500 BBY,-1500,Draggulch Period,Draggulch Period,0,,"The Sayings, a collection of instructions about political strategy and conquest by Emperor Uueg Tching of Atrisia, are printed in a small run by the current Atrisian Emperor. The printing is a ploy by the Emperor to display his power to the Atrisian nobility, who are given the printed Sayings. (Approximate date)"," ""From the Files of Corellia Antilles""—Star Wars Adventure Journal 14",1,Legends,1,0,Other
1500 BBY,-1500,Draggulch Period,Draggulch Period,0,,"The Republic drafts a large number of soldiers and halts the Sith offensive at King's Galquek, Corphelion, and Hiit.",The Essential Atlas,0,Legends,2,0,Other
1486 BBY,-1486,Draggulch Period,Draggulch Period,0,,"The Tapani Federation sends its first representatives to the Galactic Senate, and the Tapani sector is established as a Republic sector.",Player's Guide to Tapani,0,Legends,1,1,Other
1466 BBY,-1466,Draggulch Period,Draggulch Period,0,,"The Battle of Mizra occurs, ending with a Jedi defeat.",The Essential Atlas,0,Legends,1,0,Other
1419 BBY,-1419,Draggulch Period,Draggulch Period,0,,Dreypa's Oubliette is rediscovered on Jebble. (Approximate date),"Dark Times 11: Vector, Part 5",0,Legends,1,1,Other
1300 BBY,-1300,Draggulch Period,Draggulch Period,0,,Republic scouts discover the planet Lan Barell in the ore-rich Lan system.," ""Lan Barell""—Star Wars Adventure Journal 1",0,Legends,1,0,Other
1250 BBY,-1250,Draggulch Period,Draggulch Period,0,,"The Sith Lord Belia Darzu comes to power, beginning a period known as the Sictis Wars as she unleashes her technobeasts.",The Essential Atlas,0,Legends,1,1,Other
1230 BBY,-1230,Draggulch Period,Draggulch Period,0,,The Sictis Wars end with Darzu's death on Tython.,The New Essential Guide to Droids,0,Legends,1,0,Other
1196 BBY,-1196,Draggulch Period,Draggulch Period,0,,Hathrox III undergoes a biochemical civil war that wipes out the entire population.,"The Complete Star Wars Encyclopedia, Vol. II, p. 25 (""Hathrox III"")",0,Legends,1,1,Other
1154 BBY,-1154,Draggulch Period,Draggulch Period,0,,"The Bengali Uprising begins, which sees the planets Bengali and Thyrsus revolt against the rule of the Echani Command over the Six Sisters. Bengali rejoins the Echani Command less than a century later."," Star Wars: The Essential Guide to Warfare Author's Cut, Part 2 — Ancient Coruscant on StarWars.com (article) (backup link)",0,Legends,1,0,Other
1100 BBY,-1100,Draggulch Period,Draggulch Period,0,,The Republic Dark Age begins.,The New Essential Chronology,0,Legends,1,1,Other
1094 BBY,-1094,Draggulch Period,Draggulch Period,0,,The city of Zehava is founded on the planet Melida/Daan.,Jedi Apprentice: The Defenders of the Dead,0,Legends,1,0,Other
1066 BBY,-1066,Draggulch Period,Draggulch Period,0,,"The Sith Lord Vilia Calimondra instigates the Charge Matrica, a contest between her seven children to see which one would become her heir.",Knight Errant,0,Legends,1,1,Other
1058 BBY,-1058,Draggulch Period,Draggulch Period,0,,"The mercenary Aga Awaud returns to Mandalore and finds that the Candorian plague has killed his family and most of his clan, and that the Mandalorians are victims of raiders throughout Mandalorian Space. Appalled, Awaud leads a movement known as the Return in an effort to convince Mandalorians to defend their territory.",The Essential Guide to Warfare,0,Legends,1,0,Other
1057 BBY,-1057,Draggulch Period,Draggulch Period,0,,The Sith Lord Xelian gives birth to her second son Daiman.,Knight Errant,0,Legends,1,1,Other
1052 BBY,-1052,Draggulch Period,Draggulch Period,0,,The Sith Lord Mandragall is seduced and then killed by Xelian.,Knight Errant,0,Legends,1,0,Other
1051 BBY,-1051,Draggulch Period,Draggulch Period,0,,"Awaud claims the title of Mandalore the Uniter, and leads Mandalorian Space through the remainder of the New Sith Wars to become a regional industrial and military power.",The Essential Guide to Warfare,0,Legends,1,1,Other
1050 BBY,-1050,Draggulch Period,Draggulch Period,0,,Tarsus Valorum is born on Coruscant.,Darth Bane: Rule of Two,0,Legends,1,0,Other
1040 BBY,-1040,Draggulch Period,Draggulch Period,0,,Fae Coven is born.,The Jedi Path: A Manual for Students of the Force (Art print with the 2014 re-release),0,Legends,1,1,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,What will be remembered as the most unpredictable and thrilling instance of the Dragon Void race until the race involving Han Solo occurs.,"Leia, Princess of Alderaan",12,Canon,1,0,Other
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),The Jedi-Sith War ends with the Jedi Order and the Galactic Republic victorious.,"Guardians of the Whills, Star Wars Propaganda: A History of Persuasive Art in the Galaxy states that the Dark Age was a period of time between the collapse of the Old Republic and the formation of the modern Galactic Republic., The Star Wars Book",0,Canon,2,0,Other
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),"By this point, Coruscant and the Jedi Temple are occupied by the Sith as part of the war.",Star Wars Propaganda: A History of Persuasive Art in the Galaxy states that the Dark Age was a period of time between the collapse of the Old Republic and the formation of the modern Galactic Republic.,1,Canon,3,0,Other
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),"By this point, Mandalorians of House Vizsla have snuck into the Jedi Temple and liberated the Darksaber.      A Mandalorian mural depicts the slaying of a Jedi",Journey Through Space,2,Canon,4,0,Other
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),"By this point, Coruscant and the Jedi Temple are liberated by the Jedi and remnants of the Galactic Republic.","Star Wars Propaganda: A History of Persuasive Art in the Galaxy states that the Dark Age was a period of time between the collapse of the Old Republic and the formation of the modern Galactic Republic., The Star Wars Book",3,Canon,5,0,Other
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),"The Brotherhood of Darkness, an army of the Sith in which Darth Bane served in, are defeated by the Jedi's Army of Light as a result of infighting amongst themselves. The Sith, who once numbered thousands, are driven into hiding and are eventually thought extinct.","Rise of the Separatists, Endless Vigil, Star Wars: The Dark Side,  Darth Bane in the Databank (backup link), Star Wars: Galaxy's Edge has official backstory elements that, though not directly published for the public, are officially canon details that can be obtained verbally from cast members working in the land.,  The Sith | Star Wars Galaxy of Adventures Fun Facts on the official Star Wars Kids YouTube channel (backup link)",4,Canon,6,0,Other
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),"The sole Sith survivor, Darth Bane, creates the Great Plan—a plot to destroy the Jedi and the Republic from within for the coming of Sith rule over the galaxy—and establishes the Rule of Two, a lineage of Sith who would operate in the shadows, preserving the Sith's vendetta against the Jedi whilst preparing for their own return. Centuries before the Clone Wars, the Rule of Two is revealed to the Jedi Order, though still they presume the Sith's eradication and believe that Bane's plan is ruined with his defeat allegedly at the hands of his apprentice, Darth Zannah, in a duel on the Inner Rim planet Ambria. This pattern is repeated by nearly all Sith thereafter.","Star Wars: The Clone Wars: The Complete Season Two Featurette: ""Creating Mandalore"", Star Wars: Episode I The Phantom Menace,  Star Wars Helmet Collection 14 (Weapons & Uniforms: The Sith), Star Wars 9,  Darth Bane in the Encyclopedia (content now obsolete; backup link)",5,Canon,7,0,PT
1032 BBY,-1032,The Old Republic (c. 25 millennia – c. 1000 BBY),The Old Republic,Fall of the Old Republic (c. 5000 – c. 1000 BBY),Dark Age (c. 1000 BBY),The Sith Lord becomes the last of his kind to be laid to rest on Moraband's Valley of the Dark Lords.,Star Wars Helmet Collection 14 (Weapons & Uniforms: The Sith),6,Canon,8,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,"Founding of the modern Galactic Republic; with the Republic's definitive victory, its capital resettles on Coruscant, and the time before this rebirth is forgotten as a dark age, the ""Old Republic."" Official calendars begin anew, and the Old Republic military is disbanded. By this point, the Galactic Senate, newly-founded by several star systems, elects Tarsus Valorum as the first Supreme Chancellor.      Emblem of the Galactic Republic       Great Galactic Seal, of the Galactic Senate  ","Star Wars Propaganda: A History of Persuasive Art in the Galaxy states that the Dark Age was a period of time between the collapse of the Old Republic and the formation of the modern Galactic Republic., Star Wars: Galaxy's Edge has official backstory elements that, though not directly published for the public, are officially canon details that can be obtained verbally from cast members working in the land.,  Star Wars Helmet Collection 2 (Databank A-Z: Ambria), According to Tarkin, the Galactic Senate was founded during or after the Jedi-Sith War, which was waged around 1000 years prior to the formation of the Galactic Empire, per Star Wars Propaganda: A History of Persuasive Art in the Galaxy, and Collapse of the Republic establishes the Senate's founding to thousands of years prior to the Clone Wars, which began in 22 BBY per Star Wars: Galactic Atlas. Thus, the Galactic Senate was founded by circa 1019 BBY., Guardians of the Whills",7,Canon,9,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,"Around this time, Coruscant Jedi Temple begins serving as the Jedi Order's operational and spiritual headquarters.",Star Wars: Episode II Attack of the Clones,8,Canon,10,0,PT
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,The Ithorian population of Auratera continues restoring the world to its natural state following the Sith Wars.,Star Wars Jedi: Fallen Order,15,Canon,11,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,Auratera is concealed from official charts and isolated from the galaxy at large by the Jedi and its populace to prevent future Sith or other dark side Force users from accessing the planet's Acablas vergence.,Star Wars Jedi: Fallen Order,14,Canon,12,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,"The Anchorite sect, a group on Jakku in servitude to the light side of the Force that believed that suffering was the basis of life, binds itself to the Jedi Order.","Star Wars: Han Solo, set shortly after the Battle of Yavin, states that what would be remembered as the most unpredictable and thrilling instance of the Dragon Void race until the race involving Han Solo occurred a millennia ago. Per the dating system used in Star Wars: Galactic Atlas, the race could thus be deduced to have occurred in around 1000 BBY.",13,Canon,13,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,"The construction of the Royal Palace of Alderaan begins. After the initial buildingwork, additional chambers are added every few decades.","Nexus of Power states that the Bardottan Royal Palace was a thousand years old at the time of the Imperial Era, which is dated to 19 BBY by Star Wars: Galactic Atlas. As such, it could be approximated that the palace was built in 1019 BBY., Since Star Wars: Galactic Atlas places Leia Organa's birth in 19 BBY, and the events of Leia, Princess of Alderaan commence just after Organa's sixteenth birthday, it can be deduced that Leia, Princess of Alderaan is set in 3 BBY. As the novel states that the Royal Palace of Alderaan was ""the work of more than a millennium,"" the palace must have begun construction around 1000 BBY.",11,Canon,14,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,The Bardottan Royal Palace is constructed. (Approximate date),"Star Wars: Galactic Atlas establishes that Yoda's mission to Moraband, which took place prior to the mission to Utapau, occurred in 19 BBY. The Battle of Coruscant takes place after this event, and is also placed in 19 BBY by the Galactic Atlas. Therefore, the mission to Utapau must also have taken place in 19 BBY. As ""The Big Bang"" focuses on the mission, it could be found that the episode's events, including the revelation that the Yavin Convention occurred 1,000 years prior, also took place in 19 BBY. Thus, it could be found that the Convention took place in circa 1019 BBY.",10,Canon,15,0,Other
1032 BBY,-1032,Draggulch Period,Draggulch Period,0,,Jedi Master Vannar Treece begins Operation Influx to try and disrupt the Sith's export of baradium., Essential Atlas Extra: The Knight Errant Gazetteer on StarWars.com (article) (content now obsolete; backup link),0,Legends,16,0,Other
1032 BBY,-1032,Republic Era (c. 1000–19 BBY),Republic Era,Rise of the Republic (c. 1000 BBY),,The Yavin Code is established at the Yavin Convention.,"Nexus of Power, set during the Imperial Era that began in 19 BBY as dated by Star Wars: Galactic Atlas, states that the Jedi Temple had served as the Jedi Order's operational and spiritual headquarters for just over a thousand years, and that the temple's spire had existed for a thousand years. As such, it could be found that Jedi Temple began serving as the operational and spiritual headquarters of the Jedi Order in approximately 1019 BBY, and that the Temple Spire was built at around that time.",9,Canon,17,0,Other
1026 BBY,-1026,Draggulch Period,Draggulch Period,0,,"Darth Bane, the founder of the Order of the Sith Lords, is born on Apatros.",Darth Bane: Path of Destruction,0,Legends,1,1,Other
1010 BBY,-1010,Draggulch Period,Draggulch Period,0,,"Jedi Master Skere Kaan abandons the Order with a group of like-minded Jedi, and within months his Brotherhood of Darkness emerges as the dominant Sith faction.",The Essential Guide to Warfare,2,Legends,1,0,Other
1010 BBY,-1010,Draggulch Period,Draggulch Period,0,,Darth Zannah is born on Somov Rit.,,1,Legends,2,0,Other
1010 BBY,-1010,Draggulch Period,Draggulch Period,0,,"Lord Hoth decides to take the offensive against the Sith, and gathers Jedi Lords and bands of Knights behind his banner. The Grand Council of the Order ultimately declares all of the Jedi baronies united as the Army of Light under Hoth, who bears the title of Seneschal.",The Essential Guide to Warfare,0,Legends,3,0,Other
1006 BBY,-1006,Draggulch Period,Draggulch Period,0,,The Sith Academy on Korriban is reopened.,Darth Bane: Path of Destruction,0,Legends,1,1,Other
1004 BBY,-1004,Draggulch Period,Draggulch Period,0,,"The Brotherhood of Darkness lands armies on Dromund Kaas and Malrev IV, but are repelled by the Republic.",The Essential Atlas,0,Legends,1,0,Other
1002 BBY,-1002,Draggulch Period,Draggulch Period,0,,"The Army of Light clashes with the Brotherhood of Darkness at Ruusan, beginning the Ruusan campaign.",The Essential Atlas,0,Legends,1,1,Other
