time,yr_cleaned,event,era,sub_era,start,y-key
4241 BBY,4241 BBY,Suudaa Nem'ro is born on Nal Hutta.,Post-Manderon period,0,-4241,0
4225 BBY,4225 BBY,The Kaikieli Reconquista—Jedi Master Vandar Tokare and his two Padawans lead Republic troops in conquering the corrupt world of Kaikielius.[43],Post-Manderon period,0,-4225,0
4200 BBY,4200 BBY,The planet Argazda seeks to be admitted to the Republic.[1],Post-Manderon period,0,-4200,0
4200 BBY,4200 BBY,The planet Tatooine is first settled by offworlders.[1],Post-Manderon period,0,-4200,1
4200 BBY,4200 BBY,"The Mecrosa Order is founded on Nyssa by Viscountess Mireya, though the organization is corrupted—allegedly by Mireya herself—by Sith teachings over the next two centuries.[19]",Post-Manderon period,0,-4200,2
4200 BBY,4200 BBY,"The Hapes Cluster becomes a haven for the Lorell Raiders, a group of pirates who prowl the Perlemian for generations.[1]",Post-Manderon period,0,-4200,3
4200 BBY,4200 BBY,The planet Arkanis is colonized by pilgrims from Ator.[1],Post-Manderon period,0,-4200,4
4000 BBY,4000 BBY,The Exchange is founded. (Approximate date),Old Sith Wars,0,-4000,0
4000 BBY,4000 BBY,The planet Ession is colonized. (Approximate date)[73],Old Sith Wars,0,-4000,1
4000 BBY,4000 BBY,"Their attempts to negotiate a peace with Queen Amanoa fail when she unleashes the dark side against them, and the Beast Riders lay siege to Iziz. Arca Jeth arrives and lends his battle meditation to the Beast Riders, bringing about their victory, and his powerful presence in the light side causes Freedon Nadd's spirit to abandon Queen Amanoa and leave her to die. Galia and Kira are married and assume the throne of Onderon.[9]",Old Sith Wars,0,-4000,2
4000 BBY,4000 BBY,"Jedi Master Arca Jeth sends his three apprentices, Ulic Qel-Droma, Cay Qel-Droma, and Tott Doneeta, to Onderon in order to bring an end to the ongoing Beast Wars. Their mission soon goes awry when Princess Galia is kidnapped during a Beast Rider raid on Iziz. The Jedi pursue Galia, only to discover that she intends to marry the Beast Rider Oron Kira, and Onderon's royal family are practitioners of the dark side.[9]",Old Sith Wars,0,-4000,3
4000 BBY,4000 BBY,Flashpoint Stellar Research Station is established on the planet Flashpoint.[74],Old Sith Wars,0,-4000,4
4000 BBY,4000 BBY,Muzara is colonized.,Old Sith Wars,0,-4000,5
4000 BBY,4000 BBY,"The Kyyr system is enveloped in a supernova, forming the Thornhedge Nebula and Pulsar and also devastating the Ootmian Pabol. (Approximate date)[1]",Old Sith Wars,0,-4000,6
4000 BBY,4000 BBY,The Omwati establish a colony on Coruscant.,Old Sith Wars,0,-4000,7
3999 BBY,3999 BBY,Nomi Sunrider becomes Thon's apprentice after the death of her husband Andur.[75],Old Sith Wars,0,-3999,0
3998 BBY,3998 BBY,"The Galactic Republic and additional Jedi Knights arrive on Onderon and engage Ommin's army, and the Jedi ultimately defeat Ommin and liberate Arca Jeth. At the same time, the Tetan nobles Aleema Keto and Satal Keto, who were visiting Ommin and learning Sith lore from the king, escape back to their home system of Empress Teta and become Freedon Nadd's new apprentices.[9]",Old Sith Wars,0,-3998,0
3998 BBY,3998 BBY,"The Freedon Nadd Uprising erupts on Onderon as King Ommin leads an army of dark side-empowered Naddists against the Jedi Order and Beast Riders. The Naddists interrupt Amanoa's funeral and capture Arca Jeth, and also succeed in recovering the sarcophagi of both Amanoa and Freedon Nadd.[9]",Old Sith Wars,0,-3998,1
3997 BBY,3997 BBY,"A Republic and Jedi task force comes to the aid of the planet Empress Teta, which has managed to hold off the Krath, but the Sith cult drives the Republic out of the system at the Battle of Koros Major. Ulic Qel-Droma is infected by Aleema Keto's Sith magic during an attack on the Republic's command ship Reliance I, and he unknowingly begins to slip towards the dark side.[77]",Old Sith Wars,0,-3997,0
3997 BBY,3997 BBY,"Nomi Sunrider organizes a second rescue mission at the same time that Kun arrives on Empress Teta, and Kun and Qel-Droma clash in a duel. However, the duel is ended by the spirit of Marka Ragnos, who anoints Kun and Qel-Droma as Dark Lords of the Sith as well as Master and apprentice. Joining forces with Kun, Qel-Droma refuses Sunrider's attempt at a rescue, and the two Sith form the Brotherhood of the Sith.[81]",Old Sith Wars,0,-3997,1
3997 BBY,3997 BBY,"Around the same time, The power-hungry Jedi Exar Kun searches for Sith teachings and discovers the spirit of Freedon Nadd on Onderon's moon Dxun, where he is trained in the ways of the dark side before heading to Yavin 4 to acquire more power. Kun ultimately kills Nadd's spirit and seeks out Ulic Qel-Droma to eliminate a potential rival.[80]",Old Sith Wars,0,-3997,2
3997 BBY,3997 BBY,"Ulic Qel-Droma attempts to infiltrate the Krath from within, but is seduced to the dark side by Aleema Keto. Qel-Droma kills Satal and becomes the Krath's leader alongside Aleema, and a Jedi rescue mission fails when Qel-Droma refuses to depart.[79]",Old Sith Wars,0,-3997,3
3997 BBY,3997 BBY,"The Jedi Conclave at Deneba is disrupted by Krath war droids, and the servant droids at the conclave attack the Jedi at the event. The Jedi destroy their attackers, but Arca Jeth is killed by Krath droids in the battle.[78]",Old Sith Wars,0,-3997,4
3997 BBY,3997 BBY,Several slivilith - living probe creatures created by the Yuuzhan Vong - appear in the galaxy.,Old Sith Wars,0,-3997,5
3997 BBY,3997 BBY,"The Keto cousins stage a military and political coup in the Empress Teta system, seizing control of the system from their parents as they establish the Sith cult known as the Krath. The coup begins the Krath Holy Crusade.[76]",Old Sith Wars,0,-3997,6
3996 BBY,3996 BBY,"Exar Kun locates and reactivates the Dark Reaper, and begins using it to conquer planets.",Old Sith Wars,0,-3996,0
3996 BBY,3996 BBY,The Jedi Order create the Lost City of the Jedi to aide the recovery of the planet Yavin 4's ecology as well as to ensure that Exar Kun never returned again.,Old Sith Wars,0,-3996,1
3996 BBY,3996 BBY,"An attack by the Sith devastates Mustafar—the gas giant Lefrani is tugged out of its orbit by a dark side weapon, causing Mustafar to be caught between the gravitational fields of Lefrani and the gas giant Jestefad. All life on the planet's surface dies as the surface is ripped apart by immense tidal stresses.[1]",Old Sith Wars,0,-3996,2
3996 BBY,3996 BBY,"In the Duel on Kuar on the Plains of Harkul, Ulic Qel-Droma defeats Mandalore the Indomitable in combat, winning his loyalty.",Old Sith Wars,0,-3996,3
3996 BBY,3996 BBY,"After months of conquering planets from the Deep Core to the Outer Rim, the Sith launch their attack on Coruscant. During the battle, Ulic Qel-Droma is captured and subsequently put on trial for treason.",Old Sith Wars,0,-3996,4
3996 BBY,3996 BBY,Mandalore the Indomitable is defeated by the Republic at the Battle of Onderon and killed by the beasts of Dxun. He is succeeded by Mandalore the Ultimate.,Old Sith Wars,0,-3996,5
3996 BBY,3996 BBY,Sith Lord Ulic Qel-Droma turns away from the dark side.,Old Sith Wars,0,-3996,6
3996 BBY,3996 BBY,Exar Kun is defeated at the Battle of Yavin 4 by Ulic Qel-Droma and the Republic.,Old Sith Wars,0,-3996,7
3996 BBY,3996 BBY,"The Dark Reaper is deactivated and its power source, the Force Harvester, is hidden on Raxus Prime.",Old Sith Wars,0,-3996,8
3996 BBY,3996 BBY,Both the Great Sith War and the Krath Holy Crusade end with the Recapture of the Empress Teta system.,Old Sith Wars,0,-3996,9
3996 BBY,3996 BBY,"Mandalore the Ultimate begins secretly summoning clans from across the galaxy, building up arms and ships on Dxun, working toward the day when a new crusade can be launched.",Old Sith Wars,0,-3996,10
3996 BBY,3996 BBY,The Jedi Order relocates to Coruscant following Ossus's devastation.[1],Old Sith Wars,0,-3996,11
3995 BBY,3995 BBY,The Restoration Period begins for the Republic.[82],Old Sith Wars,0,-3995,0
3995 BBY,3995 BBY,"The Great Hunt, a Jedi campaign to eradicate the Sithspawn known as terentateks, begins.[9]",Old Sith Wars,0,-3995,1
3994 BBY,3994 BBY,"Revan is born on an unknown planet, believed to be somewhere in the Outer Rim Territories.",Old Sith Wars,0,-3994,0
3994 BBY,3994 BBY,"Ulic Qel-Droma revisits Yavin 4 to learn what had happened to Exar Kun, but is unable to learn anything as to his former comrade's fate.[83]",Old Sith Wars,0,-3994,1
3994 BBY,3994 BBY,Carth Onasi is born on Telos IV.,Old Sith Wars,0,-3994,2
3993 BBY,3993 BBY,"Krynda Draay, daughter of Noab Hulis and widow of Barrison Draay, is roused from the depression that the Sith War put her in when she meets the Miraluka child Q'Anilia. Q'Anilia's powers of precognition impress the half-Miraluka seer, and inspires Draay to found a Jedi Covenant dedicated to preventing the rise of the Sith.[85]",Old Sith Wars,0,-3993,0
3993 BBY,3993 BBY,"The trio's mission falls apart when Saresh, furious that Nuur and Qel-Droma are in a relationship, strikes out on his own and hunts down a terentatek on Kashyyyk. Saresh is killed by the terentatek, and Nuur and Qel-Droma are killed by their target in the caves of Korriban.[84]",Old Sith Wars,0,-3993,1
3993 BBY,3993 BBY,"During the Great Hunt, Jedi Knights successfully cleanse the planet Tatooine of terentateks. The Great Hunt is officially ended, but the Jedi Council secretly dispatches three Knights—Duron Qel-Droma, Shaela Nuur, and Guun Han Saresh—to seek out and eradicate the last of the terentateks on Korriban.[84]",Old Sith Wars,0,-3993,2
3988 BBY,3988 BBY,"The Arkanian Offshoot Edessa is born on Osadia.[86] Wyrick believes her to be his greatest success in the New Generation Project, and her name—Edessa, or ""triumph""—reflects that.[87]",Old Sith Wars,0,-3988,0
3988 BBY,3988 BBY,"Krynda Draay receives a Force vision that becomes known as the Prophecy of the Five. The prophecy foretells five individuals—one for the light, one for the dark, one for the dark in the light, one for the light in the dark, and one who stands alone—that will play pivotal roles in the next great conflict in which ""all that has been built will fall.""[88]",Old Sith Wars,0,-3988,1
3986 BBY,3986 BBY,"The Cathar Jedi Sylvar tracks down Ulic on Rhen Var and attacks him for his crimes and the death of her master Crado during the Great Sith War. Their duel ends when Qel-Droma refuses to fight, freeing Sylvar from the grips of her rage; however, the spacer Hoggon shoots Qel-Droma moments later in hopes of gaining fame.[9]",Old Sith Wars,0,-3986,0
3986 BBY,3986 BBY,"Nomi Sunrider, by now the head of the Jedi Order, calls a conclave of the Order on Exis Station. However, the conclave is interrupted when Nomi's daughter Vima steals an ion mining vessel and is nearly killed before Tott Doneeta rescues her. Vima seeks out Ulic Qel-Droma on Rhen Var and becomes his student, studying the ways of the Force.[9]",Old Sith Wars,0,-3986,1
3985 BBY,3985 BBY,The Coruscant Financial Exchange Establishment act speeds the restoration of the devastated Galactic Republic by allowing corporations to invest in the government's infrastructure in return for guaranteeing safe passage through increasingly treacherous hyperspace routes.[82],Old Sith Wars,0,-3985,0
3984 BBY,3984 BBY,Darth Xedrix begins to serve on the Dark Council. (Approximate date)[48],Old Sith Wars,0,-3984,0
3982 BBY,3982 BBY,Zayne Carrick is born on Phaeda.,Old Sith Wars,0,-3982,0
3980 BBY,3980 BBY,Vima Sunrider makes an entry in the Great Holocron regarding Ulic Qel-Droma's redemption and death.[19],Old Sith Wars,0,-3980,0
3978 BBY,3978 BBY,Mandalore the Ultimate is influenced by an agent of the Sith Empire into waging war on the Republic.[48],Old Sith Wars,0,-3978,0
3977 BBY,3977 BBY,The planet Vortex is inducted into the Republic.[1],Old Sith Wars,0,-3977,0
3977 BBY,3977 BBY,Zayne Carrick is discovered by the Jedi Order and brought to the Jedi Enclave on Dantooine.[89],Old Sith Wars,0,-3977,1
3976 BBY,3976 BBY,The Mandalorian Wars begin with the Battle of Althir.[1],Old Sith Wars,0,-3976,0
3976 BBY,3976 BBY,"A gang war erupts between the Hidden Beks and Black Vulkars, two swoop gangs on Taris.[17]",Old Sith Wars,0,-3976,1
3973 BBY,3973 BBY,Cassus Fett leads the Mandalorian Neo-Crusaders in the Battle of Cathar—Fett's forces wipe out over 90% of the Cathar population on their homeworld.[82],Old Sith Wars,0,-3973,0
3970 BBY,3970 BBY,Mission Vao is born on an unknown planet.,Old Sith Wars,0,-3970,0
3970 BBY,3970 BBY,"Argazda's Provisional Governor Myrial declares the Kanz sector independent, renaming it the Argazdan Redoubt and instigating the bloody Kanz Disorders. (Approximate date)[1]",Old Sith Wars,0,-3970,1
3969 BBY,3969 BBY,"The First WatchCircle of the Jedi Covenant—Feln, Lucien Draay, Q'Anilia, Raana Tey, and Xamar—are assigned five Padawans: Oojoh, Zayne Carrick, Shad Jelavan, Kamlin, Gharn. The five Padawans are transferred to the Jedi Tower on Taris, where their new Jedi Masters are stationed.[88]",Old Sith Wars,0,-3969,0
3968 BBY,3968 BBY,"The Adasca BioMechanical Corporation of Arkania begins offering ""genetic solutions"" to Arkanian Offshoot employees.[90]",Old Sith Wars,0,-3968,0
3967 BBY,3967 BBY,"The Jedi Knight Jelph Marrian is expelled from the Order after alienating the Jedi Council, and he joins the Jedi Covenant as a Shadow.[56]",Old Sith Wars,0,-3967,0
3966 BBY,3966 BBY,"The parents of Shad, Shay, and Shel Jelavan are killed in an accident in the Middle City of Taris.[91]",Old Sith Wars,0,-3966,0
3966 BBY,3966 BBY,"The planet Taris is admitted to the Republic after a number of corporations, including Lhosan Industries, successfully bribe Senators into admitting their world.[31]",Old Sith Wars,0,-3966,1
3965 BBY,3965 BBY,"Mission Vao and her brother, Griff, stow away on a ship to Taris.",Old Sith Wars,0,-3965,0
3965 BBY,3965 BBY,"The Mandalorian Neo-Crusaders first begin to combat the Republic Military as they move closer and closer to the Republic's edge, thus beginning the ""False War.""[1]",Old Sith Wars,0,-3965,1
3964 BBY,3964 BBY,The Mandalorians clash with the Republic at the Jebble-Vanquo-Tarnith line for several weeks.,Old Sith Wars,0,-3964,0
3964 BBY,3964 BBY,"Carrick escapes from the Jedi Tower after his capture, and his escape sparks rioting and mass panic across Taris as the public loses faith in the Jedi. Mandalore the Ultimate views this as a signal to attack and takes the planet Vanquo just as the year ends.",Old Sith Wars,0,-3964,1
3964 BBY,3964 BBY,"The First WatchCircle of the Jedi Covenant commits the Padawan Massacre, the murder of their five Padawans on Taris, after the Rogue Moon Prophecy foretells a dark figure who will bring destruction to the galaxy—a figure they believe is one of their Padawans. The Padawan Zayne Carrick arrives late and escapes with the con man Marn Hierogryph, but is framed for the Massacre.",Old Sith Wars,0,-3964,2
3963 BBY,3963 BBY,"The Mandalorians break through the Republic lines and begin the Taris Siege, and proceed to invade the Republic through three separate corridors in what becomes known as the Onslaught. One of those corridors sees the nuclear devastation of Serroco, though the Mandalorians' offensives are all halted by the end of the year.",Old Sith Wars,0,-3963,0
3963 BBY,3963 BBY,"Q'Anilia commits suicide after being led to believe that her mentor and mother figure, Krynda Draay, had died.",Old Sith Wars,0,-3963,1
3963 BBY,3963 BBY,"The Revanchists, a group of young interventionist Jedi led by a charismatic Knight known as ""the Revanchist,"" uncover evidence of the Battle of Cathar. In light of the Mandalorians' actions, the Jedi Council begrudgingly sanctions the Revanchists' entrance into the Mandalorian Wars, and the Revanchist adopts the name Revan.",Old Sith Wars,0,-3963,2
3963 BBY,3963 BBY,A Yuuzhan Vong scout arrives in Wild Space.,Old Sith Wars,0,-3963,3
3962 BBY,3962 BBY,"The Mandalorian launch a Coreward campaign known as the Mandalorian Triumph that sees them breach the Core Worlds as far as Duro.[1] However, Revan and his friend Malak arrive at the Battle of Duro with a fleet of Interdictor-class cruisers, preventing the Mandalorians from escaping with war matériel. As a result, Supreme Chancellor Tol Cressa appoints Revan the Supreme Commander of the Republic Military.[31]",Old Sith Wars,0,-3962,0
3961 BBY,3961 BBY,"Over the course of this and the next year, Revan leads the Republic in rolling back the Mandalorians' advances, though often at the cost of civilians thanks to ""moral shortcuts.""",Old Sith Wars,0,-3961,0
3961 BBY,3961 BBY,Lillia Venn becomes Grand Lord on Kesh.[56],Old Sith Wars,0,-3961,1
3960 BBY,3960 BBY,"The Mandalorian Wars come to an end at the Battle of Malachor V, where Revan kills Mandalore the Ultimate and the Mass Shadow Generator wipes out most of the Mandalorian and Republic fleets while destroying the planet's surface.[31]",Old Sith Wars,0,-3960,0
3959 BBY,3959 BBY,Battle of Foerost.,Old Sith Wars,0,-3959,0
3959 BBY,3959 BBY,The Jedi Civil War begins.[17],Old Sith Wars,0,-3959,1
3959 BBY,3959 BBY,"Turned to the dark side by the Sith Emperor, Revan and Malak find the Star Forge and, after breaking free of the Emperor's control, form their own Sith Empire to invade the Republic.",Old Sith Wars,0,-3959,2
3959 BBY,3959 BBY,The assassin droid HK-47 is constructed.,Old Sith Wars,0,-3959,3
3959 BBY,3959 BBY,Bombing of Telos IV.[17],Old Sith Wars,0,-3959,4
3957 BBY,3957 BBY,"Revan is captured onboard his flagship, after Malak turns against him. Bastila Shan brings Revan back to the Jedi, who use the Force to strip his memories and create a new identity for him.[17]",Old Sith Wars,0,-3957,0
3956 BBY,3956 BBY,Destruction of Taris which results with most of the planet destroyed.[17],Old Sith Wars,0,-3956,0
3956 BBY,3956 BBY,End of the Jedi Civil War.[17],Old Sith Wars,0,-3956,1
3956 BBY,3956 BBY,The Sith Civil War begins.[9],Old Sith Wars,0,-3956,2
3956 BBY,3956 BBY,The Order of Shasa is founded on Manaan.,Old Sith Wars,0,-3956,3
3956 BBY,3956 BBY,"Revan and Bastila along with their companions begin to look for the Star Maps spread across four planets (Korriban, Kashyyyk, Tatooine, and Manaan) after finding one on Dantooine.",Old Sith Wars,0,-3956,4
3956 BBY,3956 BBY,"At the Battle of Rakata Prime, Revan kills Malak in a lightsaber duel, and the Republic Fleet destroys the Star Forge.[17]",Old Sith Wars,0,-3956,5
3956 BBY,3956 BBY,Attack on Dantooine.[17],Old Sith Wars,0,-3956,6
3955 BBY,3955 BBY,The Sith Triumvirate is formed.[82],Old Sith Wars,0,-3955,0
3955 BBY,3955 BBY,"Sith Lords, formerly loyal to Darth Revan and Malak, begin breaking the Sith Empire into smaller domains, declaring themselves sovereign warlords.[82]",Old Sith Wars,0,-3955,1
3955 BBY,3955 BBY,First Jedi Purge begins.[92],Old Sith Wars,0,-3955,2
3955 BBY,3955 BBY,"Supreme Chancellor Tol Cressa starts the Telosian Restoration Project, for which the Aratech Repulsor Company launches the G0-T0 droid series.[65]",Old Sith Wars,0,-3955,3
3954 BBY,3954 BBY,Darth Xedrix is killed by Lord Scourge.,Old Sith Wars,0,-3954,0
3954 BBY,3954 BBY,Vaner Shan is born.,Old Sith Wars,0,-3954,1
3954 BBY,3954 BBY,"The remnants of the Sith Empire are mostly unified by Darth Traya, Darth Sion and Darth Nihilus.[82]",Old Sith Wars,0,-3954,2
3954 BBY,3954 BBY,"Sith assassins, under orders from Darth Sion, begin a widespread assassination campaign against the Jedi, who soon are all but wiped out.[82]",Old Sith Wars,0,-3954,3
3952 BBY,3952 BBY,Vandar Tokare dies.[92],Old Sith Wars,0,-3952,0
3952 BBY,3952 BBY,"The Sith Lord Darth Nihilus uses his massive Force powers to feed on the life on Katarr, destroying all life on the planet (except for the Miraluka Visas Marr) and virtually wipes out the Jedi Order.[92]",Old Sith Wars,0,-3952,1
3952 BBY,3952 BBY,Vandar Tokare dies.[92],Old Sith Wars,0,-3952,2
3951 BBY,3951 BBY,Meetra Surik is discovered aboard the Ebon Hawk by Kreia.[92],Old Sith Wars,Battle of Malachor,-3951,0
3951 BBY,3951 BBY,Lonna Vash dies.,Old Sith Wars,Battle of Malachor,-3951,1
3951 BBY,3951 BBY,"('Battle of Khoonda', ['Kavar dies.', 'Zez-Kai Ell dies.', 'Vrook Lamar dies.'])",Old Sith Wars,Battle of Malachor,-3951,2
3951 BBY,3951 BBY,Blockade of Onderon.[92],Old Sith Wars,Battle of Malachor,-3951,3
3951 BBY,3951 BBY,Second Battle of Onderon.[92],Old Sith Wars,Battle of Malachor,-3951,4
3951 BBY,3951 BBY,"('Battle of Telos IV', ['Darth Nihilus dies.'])",Old Sith Wars,Battle of Malachor,-3951,5
3951 BBY,3951 BBY,"Meetra Surik reestablishes connection to the Force, then kills Darth Nihilus, Darth Sion and Darth Traya, who have spent the last five years assassinating Jedi.[92]",Old Sith Wars,Battle of Malachor,-3951,6
3951 BBY,3951 BBY,"('Battle of Malachor', ['Darth Sion dies.', 'Kreia dies.'])",Old Sith Wars,Battle of Malachor,-3951,7
3951 BBY,3951 BBY,First Jedi Purge ends.,Old Sith Wars,Battle of Malachor,-3951,8
3951 BBY,3951 BBY,End of the Old Sith Wars.[82],Old Sith Wars,Battle of Malachor,-3951,9
3951 BBY,3951 BBY,Kavar dies.,Old Sith Wars,Battle of Khoonda,-3951,10
3951 BBY,3951 BBY,Zez-Kai Ell dies.,Old Sith Wars,Battle of Khoonda,-3951,11
3951 BBY,3951 BBY,Vrook Lamar dies.,Old Sith Wars,Battle of Khoonda,-3951,12
3951 BBY,3951 BBY,Darth Nihilus dies.,Old Sith Wars,Battle of Telos IV,-3951,13
3951 BBY,3951 BBY,Darth Sion dies.,Old Sith Wars,Battle of Malachor,-3951,14
3951 BBY,3951 BBY,"Canderous Ordo, known as Mandalore the Preserver, reunites the Mandalorian clans and aids in the fight against the remnants of the Sith Empire.[92]",Old Sith Wars,Battle of Malachor,-3951,15
3951 BBY,3951 BBY,Kreia dies.,Old Sith Wars,Battle of Telos IV,-3951,16
3951 BBY,3951 BBY,Darth Sion dies.,Old Sith Wars,Battle of Telos IV,-3951,17
3951 BBY,3951 BBY,Darth Nihilus dies.,Old Sith Wars,Battle of Khoonda,-3951,18
3951 BBY,3951 BBY,Kavar dies.,Old Sith Wars,0,-3951,19
3951 BBY,3951 BBY,Zez-Kai Ell dies.,Old Sith Wars,0,-3951,20
3951 BBY,3951 BBY,Vrook Lamar dies.,Old Sith Wars,0,-3951,21
3951 BBY,3951 BBY,Kreia dies.,Old Sith Wars,Battle of Malachor,-3951,22
3951 BBY,3951 BBY,"The Czerka Corporation, though not entirely legal means, attempts to take control over the Telosian Restoration Project.[92]",Old Sith Wars,Battle of Malachor,-3951,23
3950 BBY,3950 BBY,The Emperor's Voice is created.,Inter-Sith Wars period,0,-3950,0
3950 BBY,3950 BBY,Darth Nyriss is killed.,Inter-Sith Wars period,0,-3950,1
3950 BBY,3950 BBY,The city of Bin Prime is chosen to replace Sobrik as the capital of Balmorra. (Approximate date)[93],Inter-Sith Wars period,0,-3950,2
3950 BBY,3950 BBY,"Revan, Meetra Surik, and the rogue Sith Lord Scourge travel to Dromund Kaas in a daring attempt to try and kill the Sith Emperor. However, they are betrayed by Scourge. Surik is killed and Revan is taken prisoner. He would remain the Sith Emperor's captive for three centuries.",Inter-Sith Wars period,0,-3950,3
3946 BBY,3946 BBY,"G0-T0 droids seize control of sixteen worlds in the Gordian Reach and secede from the Republic, forming the independent territory of 400100500260026. However, Supreme Chancellor Tol Cressa organizes a military campaign that liberates the territory.[65]",Inter-Sith Wars period,0,-3946,0
3900 BBY,3900 BBY,"Queen Elsinoré den Tasia of Grizmallt sponsors one of the last colonization efforts by her world, but the colonization ships—the Beneficent Tasia, Constant, and Mother Vima—disappear from sight. It is later discovered that the ships reached the planet Naboo, where they settled and came into conflict with the native Gungans.[9]",Inter-Sith Wars period,0,-3900,0
3841 BBY,3841 BBY,Karagga the Unyielding becomes Supreme Mogul of the Hutt Cartel; he retains the position for nearly two centuries.,Inter-Sith Wars period,0,-3841,0
3838 BBY,3838 BBY,Bowdaar is born on Kashyyyk.,Inter-Sith Wars period,0,-3838,0
3809 BBY,3809 BBY,"Sraato sustains massive damage from a meteor storm, beginning a period of environmental chaos that lasts for five hundred years.[18]",Inter-Sith Wars period,0,-3809,0
3781 BBY,3781 BBY,The reconstituted Sith Empire begins preparations for their eventual invasion of the Republic.,Inter-Sith Wars period,0,-3781,0
3756 BBY,3756 BBY,"Jedi Master Barel Ovair, actually a servant of the Sith Emperor, undertakes a mission with his apprentice Eison Gynt to Yavin 4. Ovair's true mission is to eliminate the spirit of Naga Sadow for the Emperor, but the two are attacked by Massassi and Ovair is forced to flee the moon, abandoning his apprentice. Gynt returns to Coruscant years later, under Sadow's possession, and is killed when he attacks Ovair.[94]",Inter-Sith Wars period,0,-3756,0
3743 BBY,3743 BBY,"The hunter Riegenn Hetuu delivers a live k'lor'slug queen to his Hutt client on Nal Hutta, only to be consumed along with his client by the approximately four hundred k'lor'slugs that the queen had spawned in his ship. The incident gives rise to the term a ""hutt's cry,"" referring to the sound made by a batch of hatching k'lor'slugs.[95]",Inter-Sith Wars period,0,-3743,0
3717 BBY,3717 BBY,Darth Vowrawn is born.,Inter-Sith Wars period,0,-3717,0
3712 BBY,3712 BBY,"The Sith Lord Darth Ikoral is granted permission to take his flagship, the Red Reaper, on an expedition in search of pureblooded Sith outside of the Sith Empire.[96]",Inter-Sith Wars period,0,-3712,0
3708 BBY,3708 BBY,Hedarr Soongh becomes the youngest ever Grand Champion of the Great Hunt.,Inter-Sith Wars period,0,-3708,0
3707 BBY,3707 BBY,Eckard Lokin is born on Dromund Kaas. (Approximate date),Inter-Sith Wars period,0,-3707,0
3705 BBY,3705 BBY,The Brentaalan hyperspace explorer Freia Kallea bridges the gap between the Mandalorian Road and the Sprizen End Run.[1],Inter-Sith Wars period,0,-3705,0
3704 BBY,3704 BBY,"Freia Kallea blazes a route linking the Spurs of Celanon and the Morellian Trail, completing the northern end of the Hydian Way.[1]",Inter-Sith Wars period,0,-3704,0
3703–3702 BBY,3703–3702 BBY,"Freia Kallea charts a route south from Denon, linking the end of the Brentaal–Denon Route with the Dustig Trace. However, she crash-lands on the uncharted planet Nuvar thanks to interference from rivals, where she is stranded for six years.[1]",Inter-Sith Wars period,0,-3703,0
3702 BBY,3702 BBY,Darth Marr is born.,Inter-Sith Wars period,0,-3702,0
3701 BBY,3701 BBY,Kallea's route is expanded from the Dustig Trace to Seswenna and Clak'dor VII to the south over several years.[1],Inter-Sith Wars period,0,-3701,0
3701 BBY,3701 BBY,Darth Malgus is born on Dromund Kaas.,Inter-Sith Wars period,0,-3701,1
3698 BBY,3698 BBY,Darth Baras is born.,Inter-Sith Wars period,0,-3698,0
3697 BBY,3697 BBY,Gault Rennow is born.,Inter-Sith Wars period,0,-3697,0
3696 BBY,3696 BBY,Elin Garza is born on Coruscant.,Inter-Sith Wars period,0,-3696,0
3696 BBY,3696 BBY,Darth Thanaton is born.,Inter-Sith Wars period,0,-3696,1
3694 BBY,3694 BBY,"Rescued from Nuvar, Kallea extends her route all the way to Terminus near the edge of the galactic disk, and then extends it further to Imynusoph.[1]",Inter-Sith Wars period,0,-3694,0
3694 BBY,3694 BBY,Rycus Kilran is born on Dromund Kaas.,Inter-Sith Wars period,0,-3694,1
3693 BBY,3693 BBY,The fully-charted Hydian Way is christened.[1],Inter-Sith Wars period,0,-3693,0
3688 BBY,3688 BBY,Darth Jadus is born.,Inter-Sith Wars period,0,-3688,0
3683 BBY,3683 BBY,Jace Malcom joins the Republic Army.,Inter-Sith Wars period,0,-3683,0
3682 BBY,3682 BBY,Fideltin Rusk is born on Mindor.,Inter-Sith Wars period,0,-3682,0
3681 BBY,3681 BBY,The Empire begins a blockade of the Rimma Trade Route.,Inter-Sith Wars period,0,-3681,0
3681 BBY,3681 BBY,Korriban is reclaimed by the Sith.,Inter-Sith Wars period,0,-3681,1
3681 BBY,3681 BBY,Darth Marr joins the Dark Council.,Inter-Sith Wars period,0,-3681,2
3681 BBY,3681 BBY,"The Great Galactic War officially begins when a convoy of Republic warships is destroyed by an Imperial armada in the Tingel Arm, signifying the Sith's return to the known galaxy.",Inter-Sith Wars period,0,-3681,3
3680 BBY,3680 BBY,Malavai Quinn is born on Dromund Kaas.,Inter-Sith Wars period,0,-3680,0
3680 BBY,3680 BBY,The Blockade of the Rimma Trade Route comes to an end with the Republic's victory during the Second battle of the Seswenna sector.,Inter-Sith Wars period,0,-3680,1
3678 BBY,3678 BBY,Syo Bakarn is born on Corellia. (Approximate date),Inter-Sith Wars period,0,-3678,0
3678 BBY,3678 BBY,"The Republic tries to recapture Korriban after receiving info from the rogue Sith apprentice Exal Kressh, but are unable to recapture the Sith holy world. Kressh is eventually hunted down and executed for treason.",Inter-Sith Wars period,0,-3678,1
3676 BBY,3676 BBY,Tanno Vik is born on Nar Shaddaa.,Inter-Sith Wars period,0,-3676,0
