event,era,sub-era,sub-sub-era,year-cleaned,start,end,start+deprecated,end,yearcode,year-3,year-2,year,order-code,y-key
"Boba Fett is born[178] a clone of Jango Fett on Kamino. Per Jango's request, Boba is the only clone unaltered by the Kaminoans,[74] and as the son of Jango, the clone Fett is trained by his father as a bounty hunter.[44]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),32 BBY,-32,-32,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,201,20
Han Solo is born on Corellia.[179],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),32 BBY,-32,-32,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,202,21
Miara Larte is born. (Approximate date)[180],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),32 BBY,-32,-32,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,203,22
Disappearance of Doctor Nuvo Vindi. Vindi eventually re-emerges as a Separatist scientist operating on Naboo in 21 BBY.[181],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,204,0
Hetto begins working at World Window Plaza.[147],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,205,1
"Lemuel Tharsa, an inspector for the Interstellar Thorilide Guild, contracts Shilmer's syndrome while inspecting the Introsphere refinery on Gorse.[182]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,206,2
Kaeden and Miara Larte moves to the remote moon named Raada along with their parents.[183],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,207,3
Apailana is born[184] on Naboo.[185],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,208,4
Paodok'Draba'Takat Sap'De'Rekti Nik'Linke'Ti' Ki'Vef'Nik'NeSevef'Li'Kek (Pao) is born on Pipada.[21],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,209,5
Qi'ra is born on Corellia.[179],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),31 BBY,-31,-31,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,210,6
Padmé Amidala is re-elected[74] Queen of Naboo.[160][186],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),30 BBY,-30,-30,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,211,0
Rinnrivin Di is born.[187],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),30 BBY,-30,-30,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,212,1
Hera Syndulla is born on Ryloth.[55],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),29 BBY,-29,-29,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,213,0
"Obi-Wan Kenobi and his Padawan learner, Anakin Skywalker, undertake a mission to Dallenor as a result of the Dallenor Excavation. The two then travel to Carnelion IV following a distress signal sent from the planet. The Jedi find a war-torn world, split between the Open and Closed factions in the Open-Closed War. The Jedi Order and a Galactic Republic Judicial Forces fleet arrive shortly after, enforcing a cease in hostilities. (Approximate date)[188][189]      Supreme Chancellor Sheev Palpatine and Jedi in the latter's Temple, on Anakin Skywalker",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),29 BBY,-29,-29,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,214,1
"Padmé Amidala steps down following two two-year terms as Queen of Naboo. Réillata defeats Jamillia in her campaign to succeed Amidala,[160][190] though Jamillia later reigns for four years before being succeeded by Neeyutnee[191] during the Clone Wars.[192]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),28 BBY,-28,-28,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,215,0
"During Réillata's coronation, the new monarch requests that Padmé Amidala take Oshadam's place as senator of the Chommell sector. Amidala accepts and begins leading the Naboo delegation in the Galactic Senate.[160][190]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),28 BBY,-28,-28,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,216,1
"Groundquakes at Bromlarch; Senator Padmé Amidala proposes[160] the Mid Rim Cooperation Motion[52] in hopes of aiding the populace of Bromlarch, where she is assisted by fellow senator Rush Clovis.[160][190]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),28 BBY,-28,-28,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,217,2
Ryoo Naberrie is born.[160][190],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),28 BBY,-28,-28,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,218,3
Bom Vimdin is born.[37],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),28 BBY,-28,-28,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,219,4
"Theed Spaceport is developed with haste using Republic reparation money provided for the Trade Federation invasion. Ignoring the Naboo design aesthetic save for its curved docking platform, it receives immigrants seeking the prospect of spice-mining Naboo's moons and increased traffic resulting from the high-profile tenure of Senator Padmé Amidala. (Approximate date)[19]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),28 BBY,-28,-28,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,220,5
The Zillo Beasts are believed to be extinct.[193],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),27 BBY,-27,-27,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,221,0
Enfys Nest is born.[194],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),27 BBY,-27,-27,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,222,1
Enric Pryde is born[195] on Alsakan.[31],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),27 BBY,-27,-27,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,223,2
Lyra meets Galen Erso on Espinar.[21],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),26 BBY,-26,-26,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,224,0
Pitina Mar-Mas Voor is married off by her family to a male senator.[140],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),26 BBY,-26,-26,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,225,1
Cassian Jeron Andor is born on Fest.[21],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),26 BBY,-26,-26,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,226,2
Numa is born[196] on Ryloth.[197],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),26 BBY,-26,-26,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,227,3
The individual who came to be known as TK-462 is born on Eriadu. (Approximate date)[198],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),26 BBY,-26,-26,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,228,4
Bodhi Rook is born.[119],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),25 BBY,-25,-25,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,229,0
Yendor is born[199],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),25 BBY,-25,-25,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,230,1
Wedding of Lyra and Galen Erso[21],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),25 BBY,-25,-25,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,231,2
"Count Dooku delivers the Raxus Address, the Confederacy of Independent Systems is founded.[64]      A Separatist propaganda piece, complete with a Separatist hex icon above the Republic Senate Building",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),24 BBY,-24,-24,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,232,0
Separatist Crisis.[21] Thousands of star systems leave the Republic and joins the Confederacy.[74],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),24 BBY,-24,-24,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,233,1
The Separatist Senate is founded.[21],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),24 BBY,-24,-24,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,234,2
The Galactic Senate debates the Military Creation Act to determine whether the Galactic Republic should raise an army.[74],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),24 BBY,-24,-24,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,235,3
Chelli Lona Aphra is born.[200],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),24 BBY,-24,-24,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,236,4
Dalven Kyrell is born on Jelucan.[201],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),23 BBY,-23,-23,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,237,0
The mother of the individual who came to be known as TK-462 gives birth to Xea on Eriadu. (Approximate date)[202],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,238,0
Border dispute on Ansion[74],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,239,1
Wedding of Lyra and Galen Erso[120],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,240,2
"By this point,[74] the Naboo spice-miners' strikes that occurred after the Invasion of Naboo has begun[79] for months.[19]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,241,3
"Plot to assassinate Padmé Amidala. Separatist leaders hope to silence the senator from Naboo, who opposes the Military Creation Act. The bounty hunter Jango Fett is hired. He uses Zam Wesell in two attempts which failed. Zam is captured, but Jango kills her to prevent the Jedi from questioning her.[74]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,242,4
"Mission to Kamino. Obi-Wan Kenobi uses Fett's Kamino saberdart to trace him to the Kamino system in the Outer Rim. There he finds the clone army commissioned by Sifo-Dyas. He finds Jango Fett, and the two battle. Fett escapes with his son Boba, and Obi-Wan tracks him to Geonosis.[74]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,243,5
"Anakin is charged with the protection of Senator Padmé Amidala. They go covertly travel to the latter's homeworld while Kenobi searches for the assassin. As they spend more time together, the two fall in love.[74]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,244,6
"Anakin is haunted by dreams of his mother dying. Believing them to be true, he returns to his homeworld of Tatooine and conducts a mission to prevent her from dying. He finds Shmi in a Tusken Raider camp, who then dies in his arms. In a fit of rage, he slaughters the Tusken Raiders and swears that he will never again be powerless in the face of death after his mother's funeral.[74]      Anakin Skywalker, warped in anger, carries his mother's remains.",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,245,7
"Jar Jar Binks proposes that Chancellor Palpatine be given emergency powers to raise an army without the interference of the Senate. The proposal is accepted, and the clone army developed by the Kaminoans is recognized as the Grand Army of the Republic.[74]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,246,8
"The various corporation leaders on the Separatist Council,[203] including Nute Gunray of the Trade Federation,[74] ratifies[203] the Geonosian accord;[204] the Confederacy of Independent Systems is officially founded.[204]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,247,9
"Obi-Wan Kenobi is captured on Geonosis whilst reporting his findings of the Trade Federation presence and the Separatists' battle droid production to Jedi Councilors Yoda and Mace Windu. Anakin Skywalker and Padmé Amidala go to his rescue but are captured also. The three are set to be executed after their refusal to join the Sith and surrender to the Separatists.[74] Amongst themselves, the Jedi assemble a strike team of over two-hundred to save those captured by the Geonosians, whilst Jedi Master Yoda travels to Kamino to gather the Republic's new army.[19]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Prelude to galactic war (32–22 BBY),22 BBY,-22,-22,-32,-22,2,32–22 BBY,32–19 BBY,c. 1000–19 BBY,248,10
22 BBY (continued),Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,249,11
The Clone Wars begins with the First Battle of Geonosis;[74] end of the millennium-long Great Peace.[64],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,250,12
"Mace Windu kills Jango Fett, fueling Boba Fett's hatred towards the Jedi.[74]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,251,13
"Most of the Jedi strike team are killed in their attempt to rescue Obi-Wan Kenobi, Anakin Skywalker, and Padmé Amidala from execution.[74]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,252,14
"Led by Yoda, the Grand Army of the Republic engages Separatist forces on Geonosis, grounding many enemies vessels and thus most of their forces. However, the attack of the clones failed to prevent the escape of the Separatist Council.[19]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,253,15
Anakin Skywalker loses his right forearm to Count Dooku.[74],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,254,16
Darth Tyranus escapes Geonosis with the plans of a battle station designed by the Geonosians. The Sith apprentice presents the plans to Darth Sidious on Coruscant.[74],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,255,17
Anakin Skywalker and Padmé Amidala secretly wed on Naboo.[74],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,256,18
The Republic Grand Army assembles on Coruscant as surviving Jedi from Geonosis return to the planet's Jedi Temple.[74]      The Grand Army of the Republic assembles on Coruscant,Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,257,19
"With their victory on Geonosis, Republic occupies Geonosis,[205] though the world is retaken by Separatist forces within a year.[47]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,258,20
The Antar 4 schism that began prior to the outbreak of the Clone Wars further divides the moon's population; Separatists force many Gotals to flee off-world.[9],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,259,21
"Operation on Hissrich; Mace Windu brings a Jedi strike force consisting of himself, Kit Fisto, Prosset Dibs, and Rissa Mano to the planet Hissrich to stop a Separatist mining operation.[206]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,260,22
"An attack on a downed Republic troop transport occurs, and Cut Lawquane deserts the Republic during the battle.[207]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,261,23
"Knighted to fight in the Clone Wars,[21] Jedi General Anakin Skywalker leads Clone Captain CT-7567 ""Rex"" in the Battle of Arantara.[208][209]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,262,24
Anakin Skywalker gains a scar by his right eye.[209],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,263,25
Anakin Skywalker leads a mission to Benglor in an investigation of Separatist activity.[210][209],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,264,26
A battle is fought between Separatists and Anakin Skywalker-led Republic forces in the Corvair sector. Skywalker's forces discover and destroy a droid factory on Kudo III with the assistance of Admiral Wullf Yularen.[211][209][212],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,265,27
Jedi General Plo Koon and the Wolfpack lead a mission to Quarmendy; the Nexus trading post is destroyed by Separatist leader Emir Wat Tambor.[213],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,266,28
The Separatist siege of Hisseen occurs; Republic forces are sent to prevent the fall of Hisseen to Separatist hands.[210],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,267,29
The Battle of Christophsis ensues as Anakin Skywalker and Obi-Wan Kenobi send supplies to Senator Bail Organa and his relief effort on Christophsis.[152][214][215],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,268,30
"Rotta, son of Jabba the Hutt, is kidnapped by Dooku's assassin, Asajj Ventress. The blame is then placed on the Republic by the Separatists in an attempt to destroy the former's reputation with the Hutts, in the hopes that Hutt Space could be opened up to themselves for their war efforts against the Republic.[214]      The Republic negotiated with Jabba the Hutt, who fathered a son named Rotta.",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,269,31
Anakin Skywalker takes Ahsoka Tano as his Padawan on Christophsis.[214],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,270,32
"Dispatched by Ziro the Hutt, KRONOS-327 fails in his assassination mission to the twelfth moon of Yout.[214]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,271,33
The Battle of Teth occurs.[214],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,272,34
Anakin Skywalker and Ahsoka Tano return Rotta to Jabba the Hutt on Tatooine.[214],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,273,35
The raid on Ziro's Palace occurs.[214],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,274,36
Ryloth is invaded by Separatist forces; the Battle of Ryloth begins.[216][215],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,275,37
The mission to Toydaria occurs.[216],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,276,38
"The mission to Rugosa occurs. Through perseverance and humor, Jedi Master Yoda brought inspiration to three clone troopers against even the full force of Asajj Ventress' army, thus securing the allegiance of the Toydarian king Katuunko for the Republic.[217][215]      The incompetence of Ventress' ill-inspired droids and the assassin's frustration were the underpinning factors of her failure.",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,277,39
The Malevolence campaign occurs.[218][11],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,278,40
The Battle of Abregado occurs.[219],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,279,41
The Battle of the Ryndellia system occurs.[220],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,280,42
The Battle of the Kaliida Nebula occurs.[221],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,281,43
The Battle near the Kaliida Nebula occurs.[221],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,282,44
"By this point, Clone Captain Rex and Clone Commander ""Cody"" were assisted by Jedi on Tibrin.[222]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,283,45
The Battle of Mimban occurs.[222][208],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,284,46
"The Battle of the Rishi moon occurs, preventing a Separatist invasion of Kamino.[222]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,285,47
"General Grievous, leader of the Separatist Droid Army, initiates a military military campaign using intelligence from Skytop Station.[223]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,286,48
The Republic's Falleen battle group is lost.[223],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,287,49
"The Battle of Bothawui occurs; R2-D2 is captured by Grievous' forces, greatly angering Anakin Skywalker.[223]",Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,288,50
Skywalker investigates the Vulture's Claw for R2-D2 to no avail.[223],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,289,51
The mission to sweep outer corridor of space occurs.[223],Republic Era (c. 1000–19 BBY),Fall of the Republic (32–19 BBY),Clone Wars (22–19 BBY),22 BBY,-22,-22,-22,-19,2,22–19 BBY,32–19 BBY,c. 1000–19 BBY,290,52
